department,count
Global Affairs Canada,65
Natural Resources Canada,36
Employment and Social Development Canada,71
Public Safety Canada,31
Privy Council Office,8
Crown-Indigenous Relations and Northern Affairs Canada,30
Canadian Heritage,37
Finance Canada,56
Health Canada,45
,25
Environment and Climate Change Canada,50
Infrastructure Canada,52
Women and Gender Equality Canada,13
Public Services and Procurement Canada,13
Federal Economic Development Agency for Southern Ontario,5
Canada Revenue Agency,12
"Immigration, Refugees and Citizenship Canada",16
Artificial Intelligence and Digital Innovation,35
Indigenous Services Canada,22
National Defence,26
Treasury Board of Canada Secretariat,36
Justice Canada,21
"Innovation, Science and Economic Development Canada",5
Agriculture and Agri-Food Canada,11
Transport Canada,18
Fisheries and Oceans Canada,17
Veterans Affairs Canada,7
Minister of Fisheries,4
Minister of National Defence,16
"Minister of Immigration, Refugees and Citizenship",10
Minister of Public Safety,11
Minister of Health,23
"Minister of Government Transformation, Public Works and Procurement",8
Minister of Housing and Infrastructure,20
Minister of Canadian Identity and Culture,19
Minister of Finance,41
Minister of Jobs and Families,28
Minister of Indigenous Services,12
Minister of Foreign Affairs,5
President of the Treasury Board,16
Minister of Northern and Arctic Affairs and Minister responsible for the Canadian Northern Economic Development Agency,4
Minister of Justice and Attorney General of Canada,21
Minister of Environment and Climate Change,18
Minister of Artificial Intelligence and Digital Innovation,5
Minister of Industry,11
Minister of Transport and Internal Trade,8
"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",5
Minister of Agriculture and Agri-Food,10
Secretary of State (Rural Development),1
Minister of Women and Gender Equality,8
Minister of Emergency Management and Community Resilience,3
Minister of International Trade,4
Minister of Crown-Indigenous Relations,10
Secretary of State (International Development),4
Minister of Energy and Natural Resources,11
Secretary of State (Defence Procurement),4
Minister of Veterans Affairs,6
Secretary of State (Canada Revenue Agency and Financial Institutions),1
